code,name,price,count,pe,pb,price_15,price_12,price_10,buy,benefit,r1,r3,r5,roe2016,roe2015,roe2014,roe2013,roe2012
A601166,兴业银行,15.94,5,6.02,0.88,24.53,30.67,36.80,100,3.83%,18.53%,20.70%,23.09%,16.23%,17.57%,20.60%,22.32%,24.38%
A600016,民生银行,8.1,5,6.11,0.83,13.22,16.53,19.83,100,5.43%,17.95%,21.04%,24.49%,14.86%,17.04%,20.35%,23.44%,25.67%
A000625,长安汽车,14.15,5,6.79,1.58,14.71,18.39,22.07,100,4.54%,16.65%,19.69%,15.60%,26.39%,33.16%,34.05%,20.45%,9.56%
A601288,农业银行,3.47,5,6.09,0.88,4.81,6.01,7.21,100,4.90%,16.54%,18.88%,20.79%,14.55%,16.12%,19.15%,20.88%,20.74%
A601398,工商银行,5.05,5,6.44,0.91,7.14,8.92,10.71,100,4.64%,16.34%,18.83%,21.20%,14.80%,16.69%,19.67%,21.90%,22.92%
A601939,建设银行,6.19,5,6.63,0.95,8.33,10.42,12.50,100,4.49%,16.24%,18.37%,20.19%,15.38%,17.05%,19.74%,21.38%,22.04%
A601988,中国银行,3.62,5,6.47,0.77,4.94,6.17,7.41,100,4.64%,15.80%,18.47%,20.46%,12.12%,13.97%,16.43%,17.95%,18.02%
A601328,交通银行,6.12,5,6.74,0.75,7.92,9.90,11.88,100,4.44%,15.34%,17.52%,19.41%,11.55%,13.23%,14.79%,15.58%,17.91%
A600919,江苏银行,9.21,5,10.02,1.28,8.56,10.70,12.84,80,3.87%,11.19%,12.15%,13.95%,14.36%,15.69%,16.75%,19.99%,22.71%
A600015,华夏银行,10.72,4,5.80,0.85,15.03,18.79,22.54,100,1.69%,17.25%,20.13%,21.03%,14.58%,17.23%,19.24%,19.37%,18.47%
A601818,光大银行,3.96,4,6.07,0.80,5.78,7.23,8.67,100,2.47%,16.05%,18.76%,21.90%,12.80%,14.67%,17.41%,20.01%,22.44%
A600000,浦发银行,12.34,4,6.47,1.02,15.39,19.24,23.09,100,1.25%,15.19%,17.38%,18.71%,15.55%,17.59%,20.25%,21.43%,20.95%
A000001,平安银行,9.15,4,6.91,0.87,10.65,13.31,15.97,100,1.73%,14.25%,16.70%,17.45%,12.43%,14.95%,16.30%,15.47%,16.95%
A601998,中信银行,6.13,4,7.17,0.85,7.49,9.36,11.24,100,3.51%,14.02%,16.81%,18.33%,11.95%,14.26%,16.77%,18.48%,16.65%
A601169,北京银行,8.89,4,7.52,1.05,9.58,11.97,14.37,100,2.81%,13.13%,15.13%,16.16%,13.76%,15.85%,17.96%,17.98%,19.14%
A600383,金地集团,10.75,4,7.10,1.38,7.24,9.05,10.86,60,6.51%,12.84%,9.84%,10.11%,17.74%,9.83%,13.19%,13.71%,15.33%
A601997,贵阳银行,15.36,4,9.26,1.65,15.56,19.45,23.34,100,3.39%,12.63%,14.85%,15.19%,20.83%,26.30%,26.39%,24.70%,27.12%
A601009,南京银行,10.82,4,7.63,1.21,10.10,12.62,15.15,80,2.40%,11.94%,13.75%,14.00%,14.50%,16.57%,19.00%,17.56%,17.35%
A600048,保利地产,9.6,4,8.79,1.30,9.86,12.32,14.78,100,3.28%,11.88%,14.25%,15.40%,15.45%,18.58%,21.56%,22.81%,21.71%
A600036,招商银行,21.31,4,8.44,1.37,20.65,25.81,30.97,80,3.47%,11.87%,12.80%,14.53%,16.27%,17.09%,19.28%,22.21%,24.78%
A002142,宁波银行,17.69,4,8.48,1.48,14.73,18.41,22.09,80,1.98%,11.11%,11.71%,12.49%,16.39%,16.55%,18.88%,20.36%,19.93%
A601229,上海银行,24.84,4,10.25,1.24,22.74,28.42,34.11,80,2.01%,11.05%,12.56%,13.73%,13.75%,15.63%,17.51%,19.08%,19.48%
A601668,xd中国建,9.32,4,9.15,1.61,6.67,8.34,10.01,60,2.31%,10.38%,10.62%,10.74%,16.67%,16.98%,17.56%,18.55%,16.48%
A600177,雅戈尔,10.07,4,14.43,1.66,6.78,8.48,10.17,60,3.55%,10.36%,12.41%,10.10%,17.19%,23.84%,20.77%,9.73%,12.26%
A600741,华域汽车,23.34,4,11.91,1.87,15.69,19.62,23.54,60,4.28%,9.97%,10.45%,10.09%,18.59%,18.80%,21.10%,18.27%,17.32%
A002146,荣盛发展,10.54,4,10.72,1.92,8.73,10.92,13.10,80,3.80%,9.77%,10.23%,12.43%,18.73%,14.07%,26.02%,30.38%,29.91%
A600104,xd上汽集,29.97,4,10.83,1.79,20.48,25.60,30.72,60,5.51%,9.73%,10.10%,10.25%,17.44%,17.91%,18.94%,19.07%,18.47%
A600023,浙能电力,5.44,4,12.89,1.31,3.95,4.94,5.93,60,4.23%,8.38%,10.16%,10.90%,11.02%,14.08%,14.98%,18.01%,13.56%
A601186,中国铁建,11.82,3,11.22,1.20,8.30,10.37,12.44,60,1.35%,9.61%,10.34%,10.53%,11.53%,12.48%,13.20%,13.53%,12.40%
A601877,正泰电器,19.11,3,18.37,2.33,15.36,19.20,23.04,80,2.54%,9.32%,11.65%,12.06%,21.75%,27.36%,32.46%,31.49%,27.60%
A600340,华夏幸福,35.46,3,15.08,3.64,28.23,35.29,42.35,60,1.86%,9.18%,10.77%,11.94%,33.39%,41.17%,43.03%,49.51%,50.22%
A000540,中天金融,6.55,3,10.68,2.33,5.04,6.30,7.56,60,3.05%,9.17%,11.09%,11.54%,21.36%,26.18%,29.97%,37.49%,19.40%
A600816,安信信托,11.61,3,15.36,3.92,8.12,10.15,12.18,60,2.35%,7.74%,12.72%,10.49%,30.30%,42.45%,76.69%,37.40%,18.67%
A000002,万科a,21.04,2,11.12,2.04,13.88,17.35,20.81,0,3.75%,9.64%,9.47%,9.89%,19.68%,19.24%,19.08%,21.49%,21.49%
A600060,海信电器,15.13,2,13.24,1.47,10.68,13.35,16.02,60,2.67%,9.56%,9.23%,10.59%,14.03%,13.11%,13.52%,16.95%,20.10%
A000069,华侨城a,9.39,2,10.94,1.77,6.42,8.03,9.63,60,1.06%,9.53%,9.29%,10.26%,16.84%,14.02%,18.37%,20.14%,21.26%
A601633,长城汽车,13.2,2,11.92,2.61,9.18,11.47,13.77,60,2.65%,9.43%,9.35%,10.43%,24.64%,22.45%,26.17%,33.22%,29.76%
A600153,建发股份,12.13,2,11.62,1.59,9.51,11.89,14.27,60,3.30%,8.87%,9.58%,11.77%,14.06%,14.61%,16.93%,23.86%,23.84%
A600926,杭州银行,15.02,2,13.69,1.41,11.55,14.44,17.32,60,2.85%,8.08%,9.26%,11.53%,11.42%,12.79%,15.04%,19.94%,22.31%
A600900,长江电力,14.71,2,14.98,2.47,5.78,7.22,8.66,0,4.93%,7.67%,6.26%,5.89%,18.93%,12.98%,14.40%,11.85%,14.47%
A600066,宇通客车,21.28,2,11.83,4.03,9.78,12.23,14.67,0,4.70%,7.58%,7.21%,6.89%,30.58%,29.88%,26.73%,22.69%,29.11%
A000651,格力电器,38.54,2,14.24,4.01,20.84,26.04,31.25,0,4.67%,7.59%,7.80%,8.11%,30.42%,27.34%,35.96%,35.45%,33.28%
A000876,新希望,8.07,2,13.90,1.65,4.54,5.67,6.80,0,6.20%,7.51%,7.59%,8.43%,12.41%,12.00%,13.19%,15.65%,16.39%
A000671,阳光城,5.75,2,17.68,1.75,4.49,5.62,6.74,60,0.87%,5.56%,9.96%,11.72%,9.76%,15.38%,27.30%,23.82%,26.58%
A600068,葛洲坝,11.06,1,14.57,1.35,6.94,8.67,10.40,0,1.86%,8.59%,9.40%,9.41%,11.56%,13.09%,13.30%,12.14%,13.24%
A000402,金融街,11.51,1,13.42,1.27,7.01,8.76,10.51,0,3.48%,8.31%,8.46%,9.13%,10.54%,9.07%,12.59%,13.74%,11.97%
A600585,海螺水泥,20.84,1,11.59,1.46,13.70,17.12,20.55,0,2.40%,7.95%,9.27%,9.86%,11.60%,11.00%,17.97%,17.86%,13.46%
A601318,中国平安,49.43,1,13.96,2.31,23.30,29.12,34.95,0,1.52%,7.53%,7.42%,7.07%,17.39%,17.38%,16.63%,16.45%,13.80%
A600309,万华化学,26.5,1,13.34,4.01,11.33,14.16,17.00,0,1.57%,6.95%,5.51%,6.41%,27.88%,14.52%,23.87%,32.16%,30.17%
A601669,中国电建,7.89,1,17.59,1.67,4.01,5.01,6.01,0,1.08%,6.92%,7.08%,7.62%,11.56%,10.96%,12.94%,14.06%,14.07%
A600352,浙江龙盛,9.34,1,13.65,2.00,5.40,6.75,8.11,0,2.14%,6.91%,9.86%,8.68%,13.79%,20.33%,24.90%,16.05%,11.54%
A601390,中国中铁,8.74,1,15.53,1.39,4.37,5.46,6.56,0,1.01%,6.63%,7.44%,7.50%,9.23%,10.69%,11.18%,11.36%,9.78%
A600170,上海建工,3.77,1,16.00,1.41,2.05,2.56,3.07,0,2.90%,6.57%,7.09%,8.14%,9.29%,9.35%,11.46%,13.05%,14.39%
A600649,城投控股,10.76,1,13.67,1.50,5.95,7.44,8.93,0,0.00%,6.52%,9.34%,8.30%,9.79%,19.56%,12.72%,9.92%,10.32%
A002081,金螳螂,10.42,1,16.22,2.86,6.36,7.95,9.54,0,1.44%,6.34%,7.92%,9.16%,18.11%,20.29%,29.52%,32.28%,30.64%
A601800,中国交建,15.55,1,14.31,1.75,7.61,9.52,11.42,0,1.25%,6.25%,6.84%,7.34%,10.91%,11.88%,13.07%,13.25%,15.04%
A601163,三角轮胎,26.58,1,25.90,2.66,17.87,22.34,26.80,60,1.50%,5.87%,9.94%,10.08%,15.61%,28.97%,34.67%,31.55%,23.24%
A600820,隧道股份,9.78,1,18.23,1.70,4.16,5.20,6.24,0,1.64%,5.65%,5.63%,6.38%,9.60%,9.17%,9.93%,11.00%,14.51%
A600637,东方明珠,21.66,1,18.95,2.18,11.74,14.67,17.60,0,1.57%,5.24%,7.71%,8.13%,11.40%,19.72%,19.18%,19.91%,18.21%
A000718,苏宁环球,5.97,1,16.60,2.64,2.16,2.70,3.24,0,3.35%,4.87%,5.34%,5.42%,12.87%,12.88%,16.59%,10.45%,18.87%
A300017,网宿科技,12.07,0,24.11,4.28,5.14,6.42,7.71,0,0.69%,5.95%,7.82%,6.38%,25.46%,40.17%,34.87%,23.61%,12.58%
A601966,玲珑轮胎,20.52,0,24.37,2.98,9.28,11.60,13.92,0,0.81%,5.47%,5.75%,6.78%,16.33%,15.22%,19.89%,28.68%,21.09%
A002152,广电运通,12.47,0,21.72,2.39,6.82,8.53,10.24,0,0.80%,5.47%,7.66%,8.21%,13.10%,20.76%,21.16%,21.85%,21.41%
A600018,上港集团,6.19,0,20.91,2.25,2.11,2.64,3.16,0,2.52%,5.13%,5.33%,5.11%,11.53%,11.50%,12.96%,10.77%,10.68%
A600705,中航资本,5.7,0,22.18,2.25,2.82,3.53,4.24,0,2.62%,4.79%,6.50%,7.43%,10.77%,13.46%,19.63%,16.40%,23.34%
A600660,福耀玻璃,26.46,0,20.40,3.95,10.23,12.78,15.34,0,2.83%,4.62%,5.53%,5.80%,18.26%,20.67%,26.68%,25.89%,23.10%
A601766,中国中车,9.94,0,27.27,2.44,3.73,4.66,5.59,0,2.11%,4.59%,5.76%,5.62%,11.20%,17.20%,13.79%,11.95%,14.50%
A600115,东方航空,6.89,0,21.10,2.43,2.42,3.03,3.64,0,1.45%,4.51%,5.28%,5.28%,10.95%,14.45%,13.06%,9.90%,15.66%
A600332,白云山,28.5,0,29.26,2.60,10.54,13.17,15.80,0,2.04%,4.50%,5.66%,5.55%,11.69%,16.06%,16.37%,17.94%,10.03%
A002470,金正大,7.42,0,22.75,2.67,2.84,3.55,4.26,0,1.35%,4.48%,5.32%,5.74%,11.97%,14.90%,15.79%,17.44%,16.54%
A000826,启迪桑德,35.3,0,27.51,3.49,10.57,13.22,15.86,0,0.57%,4.31%,4.61%,4.49%,15.06%,16.46%,16.80%,14.24%,15.89%
A600271,航天信息,19.21,0,22.90,4.13,5.92,7.40,8.88,0,1.30%,4.29%,4.57%,4.62%,17.73%,20.95%,17.90%,18.96%,19.96%
A600009,上海机场,37.69,0,24.57,3.15,9.53,11.91,14.29,0,1.17%,4.19%,4.03%,3.79%,13.17%,13.05%,11.84%,11.44%,10.15%
A002736,国信证券,13.2,0,22.77,2.25,6.41,8.01,9.61,0,1.52%,4.11%,9.09%,7.28%,9.27%,33.75%,18.46%,10.59%,10.00%
A601985,中国核电,7.85,0,26.03,2.92,2.21,2.76,3.32,0,1.40%,3.93%,4.08%,4.23%,11.47%,12.59%,11.61%,12.86%,13.08%
A601021,春秋航空,33.14,0,29.91,3.54,16.73,20.92,25.10,0,0.48%,3.87%,6.42%,7.57%,13.71%,26.31%,28.09%,30.41%,35.47%
A600406,国电南瑞,17.2,0,28.79,4.71,5.68,7.10,8.53,0,1.74%,3.63%,3.79%,4.96%,17.12%,17.09%,19.41%,32.15%,31.00%
A601127,小康股份,18.66,0,32.43,4.40,5.14,6.43,7.72,0,1.61%,3.62%,3.51%,4.13%,15.93%,15.71%,14.76%,20.56%,24.01%
A600196,复星医药,32.8,0,28.13,3.89,7.72,9.65,11.58,0,1.03%,3.57%,3.53%,3.53%,13.90%,14.12%,13.20%,14.03%,13.41%
A600977,中国电影,19.27,0,39.21,3.58,5.78,7.22,8.67,0,1.11%,3.52%,4.29%,4.50%,12.59%,19.97%,13.44%,13.38%,21.08%
A600373,中文传媒,22.73,0,22.58,3.55,5.56,6.96,8.35,0,0.53%,3.51%,3.65%,3.67%,12.48%,13.08%,13.32%,13.22%,13.13%
A600518,康美药业,21.79,0,31.53,4.04,5.51,6.88,8.26,0,0.94%,3.45%,3.75%,3.79%,13.95%,15.54%,15.91%,16.63%,14.54%
A002385,大北农,6.18,0,27.04,2.87,1.98,2.47,2.97,0,0.97%,3.44%,3.97%,4.81%,9.88%,9.73%,14.57%,16.91%,17.90%
A000858,五粮液,54.61,0,27.73,4.39,17.54,21.93,26.32,0,1.65%,3.42%,3.45%,4.82%,15.01%,14.93%,15.45%,23.71%,36.61%
A300070,碧水源,18.87,0,28.97,3.76,5.27,6.58,7.90,0,0.30%,3.37%,3.88%,4.19%,12.69%,13.86%,17.23%,19.26%,15.74%
A601888,dr中国国,28.59,0,30.51,4.53,6.89,8.61,10.33,0,1.75%,3.35%,3.29%,3.61%,15.21%,14.15%,15.35%,17.65%,19.56%
A000793,华闻传媒,9.74,0,27.18,2.86,2.78,3.47,4.17,0,0.46%,3.33%,4.37%,4.28%,9.52%,10.64%,17.35%,14.18%,9.50%
A002450,康得新,21.78,0,36.51,4.84,5.97,7.46,8.96,0,0.26%,3.27%,4.09%,4.11%,15.86%,20.17%,23.43%,19.34%,20.78%
A600498,烽火通信,24.37,0,32.70,3.44,4.75,5.94,7.13,0,1.40%,3.13%,2.90%,2.93%,10.76%,10.07%,9.12%,9.51%,10.85%
A601611,中国核建,11.79,0,38.76,3.58,3.64,4.55,5.46,0,0.59%,3.07%,4.15%,4.63%,10.96%,15.79%,17.81%,19.10%,19.17%
A600703,三安光电,19.97,0,33.93,4.69,4.04,5.05,6.06,0,1.00%,2.77%,2.94%,3.04%,12.99%,12.44%,15.99%,15.93%,13.84%
A002839,张家港行,16.54,0,43.36,3.66,4.34,5.43,6.51,0,1.21%,2.63%,2.92%,3.94%,9.61%,10.07%,12.38%,19.12%,20.90%
A002065,东华软件,21.31,0,28.05,4.47,5.91,7.39,8.86,0,0.70%,2.33%,3.47%,4.16%,10.41%,15.44%,20.77%,23.79%,22.62%
